Name,Review,Label,,,
wini then,jangan di instal pasti nyesel. mister aladin berkerja sma dg hotel untuk menipu para pembooking hotel tidak sesuai gambar yg di tampilkan mister aladin. saya komplain malah mister aladin tidak bisa bantu memamg sudah kerjasama untuk menipu. kecewa booking disini. jangan sampai pada jadi korban kaya ...Ulasan Lengkapjangan di instal pasti nyesel. mister aladin berkerja sma dg hotel untuk menipu para pembooking hotel tidak sesuai gambar yg di tampilkan mister aladin. saya komplain malah mister aladin tidak bisa bantu memamg sudah kerjasama untuk menipu. kecewa booking disini. jangan sampai pada jadi korban kaya gini . saya saja langsung uninsal,NEGATIF,,,
pemusnah,saya pribadi sebagai agen travel jengkel bin kesal dengan aplikasi mister aladin ini.. ceritnya ada org yg mau pesan tiket rute LOP-TJQ di aplikasi harganya 1.276.000 saya dan pembeli deal dengan harga segitu setelah sampai di menu pembayaran malah di naikin menjadi 1.418.000..sebagai agen yg jujur ...Ulasan Lengkapsaya pribadi sebagai agen travel jengkel bin kesal dengan aplikasi mister aladin ini.. ceritnya ada org yg mau pesan tiket rute LOP-TJQ di aplikasi harganya 1.276.000 saya dan pembeli deal dengan harga segitu setelah sampai di menu pembayaran malah di naikin menjadi 1.418.000..sebagai agen yg jujur saya ttp bertanggung jawab dan rugi hampir 150rb.. dgn hati kesal saya booking tiket lewat aplikasi sebelah dgn promo yg lbih besar untuk meminimalisir kerugian saya.. sudah promo pas-pasan mntok 50k,NEGATIF,,,
Mas Hendi,"diskon kereta api jadi cuma 15% dulu 20% malah terkadang gk ada sama sekali, gk rame ah turun bintang 2 skrng",NEGATIF,,,
Dinni Diah Rodiah,Banyak promo yg besar sehingga liburan bisa booking hotel yg diidamkan dengan discont...,POSITIF,,,
Nuansa Hijau,lebih murah ... lebih cepat n tanpa ada biaya embel2... keyennn dehh..,POSITIF,,,
arjuna ireng,Sangat membantu... Dan discountnya kereeen banget.. Beda dari app yang lain....,POSITIF,,,
Yaserita Achiro,"Best booking hotel aps. Murah, sering ada deal jadi dpt harga extra murah. Terus yg paling top cust servicenya bs lewat chat, jadi gak perlu telp, dan responsif juga.",POSITIF,,,
ferry wijaya,"saya rencana mau pesan hotel, tapi begitu liat lokasi tempat hotel dan sy klik petanya di aplikasi tidak terlihat dengan jelas dimana lokasi hotel jadi sangat membingungkan. lalu untuk dekripsi hotel juga ga lengkap, apa saja yg customer akan dapatkan saat memesan suatu kamar hotel. (akhirnya sy bat...Ulasan Lengkapsaya rencana mau pesan hotel, tapi begitu liat lokasi tempat hotel dan sy klik petanya di aplikasi tidak terlihat dengan jelas dimana lokasi hotel jadi sangat membingungkan. lalu untuk dekripsi hotel juga ga lengkap, apa saja yg customer akan dapatkan saat memesan suatu kamar hotel. (akhirnya sy batal untuk memesan hotel disini dan pergi ke tetangga sebelah, mungkin lain waktu akan pesan dimari) untuk promo sy liat mmg cukup bagus. diskon lebih besar dari aplikasi travel yg lain.",POSITIF,,,
Muhsin Mukiman,terimakasih mister aladin akhirnya saya dapet tiket lebaran,POSITIF,,,
ade irwanto ade irwanto,Kalo bisa tiket bis luar kota ada seperti sinar jaya pahala kencana Lorena DLL,NEGATIF,,,
Heni Chaniago,No comment. Really Disappointed ! sudah booking hotel. masa vouchernya tidak terbit. untung saya hubungi hotel nya sebelum tanggal booking. kalau ga ludes uang gw. kamar pun bisa full. parah ! harga mahal pula.,NEGATIF,,,
Poetra Den,Kemarin ketinggalan pesawat. Dr pihak mister aladdin tidak ada biaya refund lg karena terkena admin. Padahal 10% masih ada. Memangny tidak ada ktentuanny.?,NEGATIF,,,
kris tanto,Diskonya mantap min makasi sekedar saran min kalo ada diskon juga wahana wisata nusantaranya juga min biar tambah mantap...,POSITIF,,,
andi Jus,Makasih atas bantuanya..cari hotel jd lbh mudah dan murah Discount blm dapet nih,POSITIF,,,
WIDYA PERTIWI,Diskon nya kereeeennn cocok buat yang sering mondar mandir luar kota buat biztrip . . .,POSITIF,,,
Cuang Alang,Hallo kok pernerbang ke luar negeri kok ngk ada aplikasi kuno ya,NEGATIF,,,
gusti bayu,"saya baru mau nyoba voucher mr aladin dari samsung gift, tapi keterangannya VOUCHER ANDA TIDAK VALID, padahal baru aja diambil, gmna jadi min ??? kalo udah di perbaiki saya bikin bintang 5 min",NEGATIF,,,
Prame Swara,Booking tiket ka gagal terus males mau dowload mau kau kasih tiket ka gratis pun gak ada artinya kalau gak bisa pesen,NEGATIF,,,
Felisha Aris,di tambahin promonya donk. semakin menjadi pelanggan semakin ga bisa di pakai promo2 nya. dulunya promo selalu bisa di pakai berkali2. tp sejak berlangganan dan dikasih review bintang 5 malah. semakin PELIT PROMO.   ,NEGATIF,,,
Aenur Rohmah,"aplikasi macam apa ini, gak bisa signin. telp callcenter (cwok,suara berat) juga jawabannya gak menyenangkan. nada terlalu meremehkan. langsung uninstal aja.",NEGATIF,,,
ROOKIE GAMING,"intinya kapok pake aplikasi ini ,saya lupa karena tidak lihat terlebih dahulu jumlah download/pengguna ,dan proses refund lama 7-14 hari tidak terhitung hari libur",NEGATIF,,,
Yudi Wahyudi,"Sangat mudah mendapatkan info transportasi baik jadwal, jumlah kursi dan harganya juga tempat wisata dan tujuan dengan berbagai kemudahannya disajikan dengan lengkap,cepat dan tepat ,semoga terus dipertahankan dan selalu berusaha untuk meningkatkan terus semuanya, oke sukses selalu.",POSITIF,,,
Narasya Channel,Katanya murah!??? Masih murah sama aplikasi sebelah  ,NEGATIF,,,
rusdi duila doel,"Aku suka sengan mister aladin, soalnya banyak promonya.",POSITIF,,,
ponco kusnandar,"dibanding yg lain, mister aladin lah yg paling banyak kasih diskon, cuma untuk pembayarannya tolong disediakan virtual account untuk bank bca jg, jd gk perlu ke atm",NEGATIF,,,
Heri Andi,Responnya asisten chat nya lama . Ketika mau chekout tiket tidak ad no rekening nya....metode bayarnya dkkirim ke email tp sampe ad 1 jam lebih nunggu gk ad email metode pembayarannua,NEGATIF,,,
Dolah Haddad,Mantappp bangetttt aplikasinya Banyak promonya dan diskonnya besar banget dehh GOOD... kalau bisa banyakin lagi metode pembayarannya biar lebih gampang khususnya di pembayaran tiket kereta... karena cuman sedikit...,POSITIF,,,
Pengguna Google,"Pesan hotel dan tiket pesawat murah, cuma untuk booking hotel di tambahin menu jumlah tamu yang menginap, dewasa dan anak-anak, seperti aplikasi yang lainnya aq**a, dll. ditunggu tambahan menu nya, thx",POSITIF,,,
Pengguna Google,"Saya , baru kali ini book di mister ald. Tapi pengalam pertama saya gatot/gagal total masa iyaa asistent yg kta nya 24 jm melayani pas bagian saya suruh booking tiket peswt+hotel+jemputan bandaraaa diaaaaaa gaa respooonn . Tolong lahh kebijakn nya hrga sih okee cuma bingung nya itu dalam apk nya",NEGATIF,,,
Dewi Yanti,"Kenapa memaksa update, kalau engga update TDK bisa masuk",NEGATIF,,,
Yusuf Xperianz1,"jiancuk ni aplikasi, login via apapun gagal. buangsat asu habisin waktu berharga saya demi login ni aplikasi. cok",NEGATIF,,,
Koko Andrianto,"Bagus, promo jg banyak. Tapi cm metode pembayaranya yg kurang, kenapa gak ada klik bca? m bca? virtual akun bca? pasti banyak yg pake bca dsini. makasih.",POSITIF,,,
ROG KYT,CS nya bekerja dengan baik dan juga banyak promonya . Thank you mister aladin,POSITIF,,,
Desty Bregita,Sudh gak ada promo tiket kereta sekarang padahal itu yg bikin mr aladin pling murh diskon tiketnya. Auto uninstal ,NEGATIF,,,
Merlyn Mobile Lagend Lucu,Kesal banget tiap x ada promo di bk ssh amiiir aplikasi nya gimn sich mister aladin tlng dong aplikasi nya kyk di setel aja smpai ga bs dpt promo nya pd hal paket data bgs jg wifi pun msh aja ga bs di bk2...???,NEGATIF,,,
Rezti ms,Di web dan di Apl tidak sesuai. Lebik baik yg di web. Tapi harus menunggu proses yg agak sedikit lambat. Tolong ditingkatkan,NEGATIF,,,
kekepro msykeyla,"assalamualaikum wah... bagus banget lihat murah-murah han saya suka tapi bisa pergi ke mana saja kaka ku gak pernah ke musim salju hmmm.. , tapi... aku pake saja bank klik , terima kasih y @mister aladin ",POSITIF,,,
Sofyan Ardy,Diskon nya luar biasa mantap....serba murah dan gampang akses nya di mister aladin . issued ticket malem2 plus depet diskon gede Banget . thank youu mister aladin.,POSITIF,,,
Alegrian 18plus,"Pembayaran sudah di transfer,begitu sampel hotel,sudah kamar sudah full,customer servicenya ditelpon pun sangat kurang sopan santun,sangat merugikan.",NEGATIF,,,
Vika Risnanita,"Kenapa total pembayaran di applikasi dgn di email beda,, di apllikasi uda terpotong diskon tp di email blm terpotong Yg bener yg mana..membingungkan",NEGATIF,,,
Carlos Matarau,"Bagus apalagi promonya banyak dan dapat potongan yg lumayan, tapi tolong ditambahkan metode pembayaran seperti transfer atau atm dengan menggunakan pilihan bank lain lagi. Tks",POSITIF,,,
Kus Hariyono,"bayar pkai virtual account selalu bill kadaluarsa, padahal baru aja isi data boking. uda dicoba bbrp x, selama 2 hari jg hasilny Tetap sama.. tlong dong perbaiki kuaitasny",NEGATIF,,,
Neng Langsing Suise,"Kode.promo.kepanjangan, sulit.dihafal, sehingga harus dicatat.dulu atau bolak balik.lihat lagi Mohon disederhanakan",NEGATIF,,,
susan arianti,"Sangat mudah dan cepat, sisyem pembayaran pun banyak",POSITIF,,,
FSDRRF CILIK,Kok destinasi arrival nya makassar kok gak ada padahal udah ketulis aku juga udah tulis sultan hasanuddin masih belum juga tolong diperbaiki dong,NEGATIF,,,
Yustinus Sitorus,"Mohon bantuannya, kenapa saya tidak bisa di konfirmasi utk memasukkan identitas penumpang?",NEGATIF,,,
Galih Fera Dhuwi Rahayu,"Harga mahal masih kalah jauh sama aplikasi yg lain,,",NEGATIF,,,
mulia nurihwani,"adain pembayaran via virtual account dong biar lebih oke, kalau byr nya ke ATM bersama ada biaya admin bank lagi belom hrs ke atm, bayar parkir dan boros bensin  ",NEGATIF,,,
Maya Ringgala,"langsung kasih 5 bintang walau belum pesan...mr aladin tolong dongk kasih saya diskon kamar untuk bulan maret , mau ngehadirin adik nikah. pas lagi bokek, pas tunjangan belum keluar",NEGATIF,,,
Dot Drink,"Mantap, menerima saran dan kritik, dan pengananya sangat cepat, oke hbs, gk rugi meutamakan app ini diatas dri yg lain",POSITIF,,,
Sabirin Hameh,Tentang berita sea game 2019 filiphina.,POSITIF,,,
Azis Maulana,"Apps terbaik untuk tiket dan hotel, namun sayang metode pemabayarannya, tidak banyak. mohon untuk di perluas metode pembayarannya.",POSITIF,,,
Boss Oke,"Promo voucher discount penerbangan nggak bisa digunakan, ""Not Active"". Proses refund juga agak ribet, tidak seperti di Tra****, menu nya lebih lengkap",NEGATIF,,,
Pengguna Google,"buruk buruk buruk sama sekali loading lama, tidak bisa klik pesan baik tiket pesawat, hotel, kereta api... mending aplaksi tetangga cepat, loading ga telmi,",NEGATIF,,,
Arjuniwan Brahmana,"Kenapa ga bisa pesan tiket kereta api lagi ya?? Baru juga minggu kemarin pesan,aman2 saja... Tolong dong..",NEGATIF,,,
Novita Kusumawati,"buat booking tiket kereta api gabisa2, tpi buat booking hotel lbih gampang",NEGATIF,,,
Linda Maulana,Pergi Ke Citra Grand City.,POSITIF,,,
Ahmad kamal,"memudahka mencari tiket, baik tiket pesawat, tiket kereta, voucher hotel. Dan yang pasti diskonnya gede.",POSITIF,,,
imam kharomen,aplikasi yg menipu.sdh bayar dan tranfer pada hari H hotel tdk meras di pesan dari mister aladin.pdhl semua hotel penuh akhirnya batal berlibur dgn keluarga....,NEGATIF,,,
Agus Tri Yulianto,"Kenapa sekarang untuk cek tiket kereta bulan september tidak bisa? Rute tidak tersedia,padahal lewat aplikasi sebelah bisa",NEGATIF,,,
Meri Sembiring,"Banyak diskonnya, cs-nya sangat membantu tq mr. Aladin",POSITIF,,,
Rendy Bros Tito,"3 bintang dulu. kalau diskon 20% untuk kereta apinya sudah tanpa minimal transaksi, nanti baru 5 bintang.",NEGATIF,,,
Soedarman Sudarman,Cukup mudah untuk memesan tiket di mister Aladin,POSITIF,,,
Utama Utama,promo diskonnya selalu ada dab booking tiket lion air di krm tiket aslinya dr maskapainya dan saran sy alangkah lebih baik lg kalau booking tiket pswt semua maskapai juga mengirimkan tiketnya ke alamat email si pembooking salam sukses misteraladin,POSITIF,,,
yaniheryanto 115,"sangat membantu, dengan tiket yang sangat murah dan komunikasi yang sangat cepat antara adm dan pelanggan.. tank's you mister aladin...",POSITIF,,,
Pengguna Google,tolong untuk perbaiki lagi apl karna saya sama sekali tidak bisa sign in apalagi untuk memesan sungguh tidak nyaman sekali bila seperti ini terus,NEGATIF,,,
Diana Official,"kecewa , pertama x pesan hotel dsini liburan dgn kluarga pesan 2 kamar tapi koq 1 kamar tdk ada katanya minta refund jg responnya lama banget tolong dong di refund semuanya",NEGATIF,,,
Denson Limbong,"Aplikasi asal jadi, sudah gps aktif, ketik tempat, masih saja ga nemu hotelnya. Ga malu apa developer aplikasi ini, dengan hasil begini?",NEGATIF,,,
Fhaaro Mitha,"dri tadi buat nyari tiket kereta lemotnya bukan main. gk jalan2 malah. padahal internet saya lagi kenceng2 aja. dicoba buat buka yutub, ig, chrome. juga kenceng2",NEGATIF,,,
Adam Ferdyanto Sinatria,"mantap mister aladin paling topp dibandingkan aplikasi lain, diskon tiket kereta gede bgt !! tingkatkan selalu mister aladin !!",POSITIF,,,
Gery2 Liem,Promo tiket pesawat domestikx sdh tdk ada lagi.,NEGATIF,,,
mujiyono Yono,Layananya Bagus Sy pesan tiket Kereta Mudah dan Murah The Best Mister Aladin,POSITIF,,,
Pengguna Google,Saya pesen tiket kereta api .. sudah isi data penumpang.. tinggal pembayaran..tapi TIDAK BISA,NEGATIF,,,
Dewi Masyitoh,untuk sistem pembayaran nya tolong dipermudah untuk no rekening mungkin bisa ditambahkan bank BRI,NEGATIF,,,
Bolan Aryaldi,Lebih mudah booking nya dan banyak pilihan nya,POSITIF,,,
Ninik Inda yati,sya kira ada tiket kapal jga... tpi gk ada ya .. syang skali  ,NEGATIF,,,
Irfan Bagaskara,"Jembut, bayar pakai ovo gabisa, pas mau bayar tiba2 aplikasi berhenti, terus bayar di alfamart code gagal terus. kontol",NEGATIF,,,
Fitriah Fitriah,"Sumpah kesel banget dah mau pesan tiket pesawat pas udh ngisi identitas, gk bsa di lanjutkan,",NEGATIF,,,
ananda rahma dini,"terima kasih mister aladin, promo tiket kereta nya sangat berguna",POSITIF,,,
UWA JOJON,Untuk pembelian tiket kereta dah gak ada potongan   ,NEGATIF,,,
Pengguna Google,"Busettt Loading nya lama banget ga sama sebelah, tolong dong di perbaiki, kalo begini biar promo nya gede tp ga bisa di gunakan, Skali lg tolong di perbaiki",NEGATIF,,,
rezki pratama putra,"mohon di tingkatkan untuk app nya, biar kalo lg buka app lain ttp berada di halaman trakhir kita buka app mr aladinnya sering bgt ngulang k home lg",NEGATIF,,,
Frando Manik,setiap beli tiket pesawat selalu dari mister aladin. karna potongan promonya lumayan dari pada yg lain. mister aladin mantap...,POSITIF,,,
Shofi Retno,Cari diakonan pas tanggal 30 okt kok gak nemu nemu  ,NEGATIF,,,
aggnaro sp,"harga paling murah karena ada diskon2 jauhhhhh murah dr pda traveloka apalagi agoda dan banyak ketersediaan kamar disaat app lain ud full disini masih ada dan harga miring bgt,good job",POSITIF,,,
Rizki Restiawan,tidak bisa di pakai. sayangnya mister aladin telah berhenti !,NEGATIF,,,
HAN DITTO,discount nya gede sih...tp cm bisa di pake sekali doang jd gak asyik...gak bisa tiap hari dapat discount lg..payah...satu bintang buat mister…,NEGATIF,,,
Puphey Yudisti,cs terlalu slow respon.. tolong di baca email dari customer donk.. .,NEGATIF,,,
Aldi Trisnawadi,promo tidak bisa dibayarkan melalui transfer tai lah! yang kaya semakin kaya dan semakin enak di manjain semuanya!,NEGATIF,,,
prista agung,"masih kalah sm smua aplikasi booking pesawat dan hotel lain, kasi promo kok setengah2, lucu",NEGATIF,,,
Siapa saja Boleh lah,Ada yang udah pernah pesen tiket disini belom? Emang bener ya lebih murah??? Liat d iklan sih baru mau instal heheh semogaan aja bener dan ga ribet,NEGATIF,,,
Karya Adhie,"saya kecewa,pembelian kamar saya yg 1 gk masuk,sudah bayar 2 tp cm masuk 1",NEGATIF,,,
Fendi Riyanto,Semoga makin banyak promo diskonnya...,NEGATIF,,,
Zaldy Muhadin,bagus.. tpi tolong sistem pembayarannya di sediakan trasnfer via m bangking dgn rek virtual dong.. repot saya klo ke atm mulu..,POSITIF,,,
Gatot Trisantoso,"udah dcerewetin masih aja mau bls""n nih mister.   coba dong disc hotel'a berlaku untuk pembayaran d'alfamart (mini market). pokoke mantep betull dahhh      ",NEGATIF,,,
orelane video,kecewa sama mister aladin tidak berani menaikkan promo seeprti aplikasi sebelah..dari dulu cuma 50k untuk maskapai LION..tolong di perbanyak promo untuk tiket pesawatnya,NEGATIF,,,
Dessy Christina S,"Ga bisa login, responnya cuma muncul tulisan 500 pas mau masukin lagi harus nunggu sejam?  ",NEGATIF,,,
Edwar Pekanbaru,"harga ga update.. di travrloka jkrta -pekanbaru udah ada yg 800 ribuan.. mr aladin masih diatas 1,1 smua penerbangan.. sueeee.....",NEGATIF,,,
Testimonial Cataluna,akan lebih baik jika metode pembayaran ATM tersedia tuk semua transaksi.,NEGATIF,,,
Rama Dian,Sudah berlangganan.....,POSITIF,,,
sony aprizal,"very good, discount hotel dari app dan discount hotel dari voucher ,mister semoga sukses ya",POSITIF,,,
Pengguna Google,"Mister aladin koplak, Masak gk ada layanan jodoh, Aladin kan serba bisa dan bisa mengabulkan sgala permintaan, Ap gue salah mantra ya, pas buka aplikasi,.",NEGATIF,,,
Sultan Sasmita,"mantap, semoga tambah banyak promonya",POSITIF,,,
Sapto Maulana,"sangat membantu dan mudah dijelajahi,, tidak seperti aplikasi sebelah yg tanggalnya ready setelah dipesan ternyata penuh.",POSITIF,,,
Tri Tri,Sangat bagus d gunakan dan cepat tanggap kalo ad masalh tau pun keluhan pelanggan,POSITIF,,,
Wahyu Allamy,Kapan Mister Aladin pakai pembayaran virtual account BCA? Itu aja kekurangannya menurut saya..,NEGATIF,,,
felix kurniawidi,Sangat membantu dlm pemesanan hotel banyak diskonnya,POSITIF,,,
Mikha Romasty,bbrp kali cek penerbangan....selalu penerbangan tidak tersedia....masa sehhhhh.!!!uda diubah2 tgl juga...,NEGATIF,,,
Armand Syahrul,murah dari mana sama aja mahal...payah neh aplikasi...di remove lagi aja deh,NEGATIF,,,
munawar almansur,saya berhasil install dan saya suka dengan promo tiket kereta april yg mantulll...,POSITIF,,,
bayu artiyanto,Aplikasi sdh bagus.. Mohon ditambahkan fitur utk pemesanan tiket pesawat & reservasi hotel internasional,POSITIF,,,
eko Wahyu sardiyanto,Perbanyak promo - promo akan jauhh lbh baik,POSITIF,,,
David Scooter,"Aplikasi sangat bagus, sayang untuk tiket kapal laut Pelni & kapal Ferry tidak ada",POSITIF,,,
Ari Sandi Mana,"Payah, masa airport keberangkatan domestik cuma ada 10?",NEGATIF,,,
Khalida Kumalasari,Sangat menguntungkan dan bermanfaat karena ada diskonnya! dan aplikasi juga userfriendly. terimakasih.,POSITIF,,,
sozo babystore,"kami sebagian driver pemasangan iklan mister Aladin dimobil kami 3bulan belum dibayar dengan naungan sticar, dengan alasan dari pihak sticar mister Aladin belum mbayar kepihak sticar...",NEGATIF,,,
hari setiawan,aplikasi tidak sesuai dengan kenyataan dihotel dan tidak bertanggung jawab atas kerugian pelanggan,NEGATIF,,,
Andika Syaputra,"Emang sudah terbukti tiket kereta di apk mister aladin emang paling murah, seblum pke apk mister aladin saya sering pesan tiket ka di Tr******A diskon nya msh besar di apk mister aladin.",POSITIF,,,
Urip Sandoyo,Gimana cara masukin kode promonya ya?,NEGATIF,,,
Pengguna Google,Bagus jadi enak dong kalo liburan pokoknya bagus deh yang gak download pasti nyesel pokoknya aplikasinya bagus,POSITIF,,,
Hayday Ayda,Saya terbantu karena bisa mendapat penginapan dengan harga murah namun kualitas oke,POSITIF,,,
Pengguna Google,Kenapa saya sdh transfer 2 juta lebih tpi malah tidak ada keluar nomor boking dn smua2nya apa saya dapat tipu?,NEGATIF,,,
Hafil Suryana,"sangat menguntungkan pakai Mister Aladin, Mantaf... diskonnya lebih besar dari yg lain",POSITIF,,,
FOCUESGAMINGPRO FOCUESGAMINGPRO,Meloding melulu....terlalu lama..eeh ga jadi2 kode bokingnya,NEGATIF,,,
erika juliani,tolong dong perbarui agar bs psen lebih dr 1 room hotel jdinya ga ribet2 hrs 2x transaksi,NEGATIF,,,
Republic Of Technology,diskonya besar...tapi kenapa aplikasinya berat untuk d jalankan login aja gagal terus,NEGATIF,,,
putri tulus hati,pesen tiket atau rencana liburan gampang bgt.. tp blum bisa pake m.banking.. hiks,NEGATIF,,,
Tisa Ayunda RN,sgt membantu & promonya besar. tp mohon pilihan metode pembayaran diperbanyak ya  terimakasih,POSITIF,,,
Asri Aisyah El Zahra,Semangat aplikasi buatan anak bangsa ,POSITIF,,,
Bambang Pramesta,cukup membantu untuk pencarian tiket kereta api & boking hotel...     ,POSITIF,,,
ipat patimah,"cari tiket jdi sangat mudah, harga jga terjangkau banyak promo2. Mister Aladin TOP BGT",POSITIF,,,
Wiwid Angel,"Bener"" dapet diskon gede, ak udah voba, puasss... Terima kasih mister aladin",POSITIF,,,
Chrizzt RL,"Harga disini lebih mahal dibanding beberapa aplikasi sejenis, mohon diperhatikan.",NEGATIF,,,
Ahmad Rijensa,respon dari fasilitas bantuan itu cepat tapi aplikasi tidak bisa dibuat memesan tolong segera dibenahi,NEGATIF,,,
dayren gaming,"Pesan hotel banyak yg kamarnya tidak tersedia, beda dengan aplikasi sebelah",NEGATIF,,,
andi ami,"saya mengapresiasi bookingan yg saya lakukan mantap,hanya saja tdk ada bank BRI atau briva saat mau transfer..juga discountnya mantap",POSITIF,,,
Erwin Sirojudin,Pengalaman Pertama Booking tiket KAI langsung dapet Discount gede-gedean.Mister Aladin adalah Aplikasi yg memudahkan sy utk pesan tiket dan Hotel.RECOMENDED BANGET,POSITIF,,,
SENA SENDRA,"sangat membantu saya,tanpa mengantri....dan tdk bnyk membuang waktu...",POSITIF,,,
Semeton Lombok Entertainment,"Promonya sudah tidak seperti dulu lagi,lebih baik pake aplikasi sebelah",NEGATIF,,,
Mai Perlak,Belum ada krjasama dgn hotel melawai 1 dan 2,NEGATIF,,,
Wahyu Alfatih,sy baru saja pesan tiket kereta sudah bayar tp kode bokingnya gak keluar gimana ini,NEGATIF,,,
Riggrn Angg,waktu mau klik booking kok gak bisa sih? kadang bs kadang g bs. banyak gak bisanya  ,NEGATIF,,,
Anis Habibah,"Bagus kali la ini aplikasi, paking banyak pula diskonnya",POSITIF,,,
Gunawan Hasyim,utk mengetahui dan memesan tiket pesawat secara cepat,NEGATIF,,,
ferdy arsenal,"ngasih kode promo terus2 an,, tpi pas dipakai gak bisa,, muter2 gak jelas.. maaf sya uninstall",NEGATIF,,,
sonia asihsejati,Promonya luar biasa! Keren dehhh,POSITIF,,,
Budiman Chaniago,Ga bisa update,NEGATIF,,,
Syarifah Mellyannur,"kenapa aplikasi lemot sekali yaa, baik akses lewat komputer atau aplikasi sama lemotnyaa",NEGATIF,,,
D- Institute,kalau bisa tambah metode pembayarannya.bisa m banking atau internet banking.,NEGATIF,,,
Desain Rumah Suka Suka,"selalu force close saat ingin mengisi data penumpang, zenfone 3, segera perbaiki!",NEGATIF,,,
Ety Kusuma,"thanks Mr Aladin...dari awal pakai, semua begitu mudah dan tidak mengecewakan.",POSITIF,,,
Abepura DA,Mantap! Diskonnya gak banyak syarat. Syaratnya cuma minimal belanja aja ,POSITIF,,,
BRAVO HYPER,4 bintang dulu ya,POSITIF,,,
Pengguna Google,sampai hari ini masih oke oke saja saya pesan tiket. metode pembayaran nya tolong d tambah. tks,POSITIF,,,
Nuar Agung,Diskon 50% tapi boongg awokwowkwokwok,NEGATIF,,,
Pengguna Google,Aplikasi tai lah masa pas mau cek tiket pesawatnya gak bisa-bisa,NEGATIF,,,
Rois Sudin,"murah dari mana kucoba instal sama aja dgn yg lain,uninstal lagi dech....",NEGATIF,,,
Rafi ismail,Katanya ada paket tour saya lihat di aplikasinya gak ada tu,NEGATIF,,,
ferry barokah,Mantap promonya lebih dari aplikasi sebelah thanks mister aladin,POSITIF,,,
widodo agung,Aplikasi mudah diimplementasikan,POSITIF,,,
mas tedee,Joss pokoknya…,POSITIF,,,
Yamin Karna,senang menyaksikan berita yg akurat dan dpt dipertanggung jawabkan.,POSITIF,,,
ika wijaya,"untuk pembelian tiket kereta api disini juaranyaaaa, pertahankan!!!",POSITIF,,,
sylvi kleian,baru coba sih.. untuk alamat lengkapnya di mana?,NEGATIF,,,
Sarila Ila,"bagus lebih murah daripada aplikasi lain,ada diskon promo juga",POSITIF,,,
adelina prayogi,Tolong untuk pembayaran adakan untuk MNC bank juga. Terimakasih,NEGATIF,,,
Dwi Ariyanto,aplikasi yg sangat membantu. diskon nya juga banyak.. thanks,POSITIF,,,
faidatul ku,"Banyak diskonnya, terimakasih yaa  ",POSITIF,,,
SARMAN S Si,"Mantap pokok,,, aku suka",POSITIF,,,
agus triyono,"Jempol ae lah,",POSITIF,,,
Fadhli Yusuf,baguss.diskon kai 20% sukses. pmbayaran credit card dgn debit online lncar. sukses trus bnykin promo y,POSITIF,,,
Andryana Raisa,harga murah.bnyak promo.smoga habis di update makin bnyak lg promo,POSITIF,,,
ASCAFARI,MAU CARI KERETA DRI BANDUNG TIDAK ADA COBA CARI LOKASI TERDEKAT SAMA AJA TIDAK ADA APLIKASI APAAN SICH..ribet amat,NEGATIF,,,
CHENNEL ATHOMAS4126P THOMAS,mister aladin hotel aladin murah loh downlod mister aladin luncur tkp,POSITIF,,,
adrianto nova,Dowload versi terbarunya lama ya,NEGATIF,,,
Pengguna Google,Sangat bagus hasil yang di dapat sesuai dengan uang yang di keluarkan.,POSITIF,,,
Pengguna Google,"hanya rute domestik saja, tidak ada internasional  ",NEGATIF,,,
cahya kurniawan,sering-sering kasih promo untuk pemakai credit card MNC dong,NEGATIF,,,
Wahyu Sali,halo mr.Aladin saya mau login/daftar keterangan gagal.mohon Bantuannya.txs,NEGATIF,,,
Via Rahmadani,"mungkin ini sangat baik...dan mudah""an bnyk membantu",POSITIF,,,
Arifin Saragih,"apa keluar2 sendri,mo cek penerbangan aja gk bisa...wedus",NEGATIF,,,
Yudiko Riniko,"Makasih mister aladin, bagus buat penjagaan susah beli tiket.",POSITIF,,,
Sutini Adi,shiip...banyak promonya,POSITIF,,,
REZA KUMOLO,"Nice promo, tapi metode pembayaran adakan transfer bank dong agar user yg biasa transaksi via transfer atau virtual Account gak kabur  ",POSITIF,,,
Suandi Pratama,Kenapa nama bandara makassar tidak bisa di temukan yaa,NEGATIF,,,
Pengguna Google,Kurang bagus gk ada penerbangan internasional.....,NEGATIF,,,
Bilal Saputra,Mantap aplikasi ini...,POSITIF,,,
Pengguna Google,Recomended. Tolong diskonnya dibanyakin lagi.,POSITIF,,,
Pengguna Google,parah pelayanan lama..saya tunggu 1jam di lobi...,NEGATIF,,,
Madrowi Owi,Promo tiket keretanya oke banget,POSITIF,,,
Hajaj Nsjajs,saya ksi bintang 5. bantu saya nanti buat cari tiket pesawat murah,POSITIF,,,
Matahari,pernah booking buat acara kantor lewaat mr.aladin..harga bersaing dan ok,POSITIF,,,
Gung Oka,Nama aku diah aku kan mau instal tapi sudah 100 gk bisa di inatal,NEGATIF,,,
sri damayanti,Mudah dan banyak promo nya,POSITIF,,,
ty sumadihardja,Mantap ..diskonnya berasa buat travel,POSITIF,,,
Mohammad Akmaludin,saya sangat mengucapkan trimahkasih atas diskon kereta nya yuk download gk download nyesel loh,POSITIF,,,
