"Nama ","Review","Label"
"Muhammad Ichsan","Tingkatkan terus pelayanan, berikan kontribusi ekonomi digital untuk Indonesia ðŸ‡®ðŸ‡©","NEGATIF"
"Meilina Pakpahan","Selama ini andalan dan kebanggan saya pakai pegipegi drpd aplikasi travel online yang lain. Eh sekalinya ketemu proses refund, catet ya 1-3 bulan dr proses pengajuan data refund lengkap diterima. Lamanyeeee... udah gitu yg saya bayar 1.552.000 eh yg direfund 1.015.000. WHAT??? Memalukan. Potongan 15...Ulasan LengkapSelama ini andalan dan kebanggan saya pakai pegipegi drpd aplikasi travel online yang lain. Eh sekalinya ketemu proses refund, catet ya 1-3 bulan dr proses pengajuan data refund lengkap diterima. Lamanyeeee... udah gitu yg saya bayar 1.552.000 eh yg direfund 1.015.000. WHAT??? Memalukan. Potongan 15rb administrasi x 4 org cuma 60ribu!!!","NEGATIF"
"Anggun Nilamsari","Data kereta tak valid, di pegi2 masih tapi setelah di pesan sold out, padahal masih tersisa jadwal kereta banyak bangeeet, capek di php","NEGATIF"
"Johanes Five","Mengapa pembayaran dg kartu debit dikelompokkan ke pembayaran kartu kredit? Jadi menunya masih kurang informatif..","NEGATIF"
"Budi Rianto","Kenapa sih aplikasi ini mengalahkan promo aplikasi lain?? Kan ga bisa pindah ke aplikasi lain slalu ke sini","NEGATIF"
"anjas dwiansyah","Saya ingin bertanya,, saya sudah transfer uang pembayaran hotel,, terus di situ saya lupa register sedangkan saya sudah membayar nya,, ketika saya selesai register tidak ada pesanan yang selesai,, itu bagaimana ya apakah uang saya hangus karena belum register sudah membayar hotel nya?","NEGATIF"
"LULU ENDAH KHARIRI","Tulisan harga tiket pesawat 920. Tapi sekali harga yg di bayar 999k . Mana loadingnya lama lagi.","NEGATIF"
"Adi Ui","Sangat sangat mengecewakan. Tolong kalau tulis keterangan di hotel sesuai keadaan nya.saya sangat kecewa. Gak bakal lagi pesan lewat sini.kapok very very bad.saya ikhlasin saja uang saya gak kembali. Duit sudah saya transfer dan ada Ket berhasil dan ada bukti nya di bilang uang gak di transfer dan g...Ulasan LengkapSangat sangat mengecewakan. Tolong kalau tulis keterangan di hotel sesuai keadaan nya.saya sangat kecewa. Gak bakal lagi pesan lewat sini.kapok very very bad.saya ikhlasin saja uang saya gak kembali. Duit sudah saya transfer dan ada Ket berhasil dan ada bukti nya di bilang uang gak di transfer dan gak masuk .hello kalau mau berbohong dipikir dulu ðŸ–•ðŸ–•ðŸ–•","NEGATIF"
"Bambang Kristianta","Aplikasi buang2 kuotaaa Baru download, mau dipakai untuk booking udah keluar terus aplikasi nya","NEGATIF"
"ongky pratama","Iklan hotel yang terdapat di aplikasi tidak sesuai dengan keadaan hotel. mengharuskan customer melakukan pembayaran 15 menit setelah booking, akibat ketidaksesuaian aplikasi proses pembatalan Check in tanggal 27 pembatalan harus tanggal 24, masa mau di cek 3 hari sebelum Check in.. Pembayaran uang k...Ulasan LengkapIklan hotel yang terdapat di aplikasi tidak sesuai dengan keadaan hotel. mengharuskan customer melakukan pembayaran 15 menit setelah booking, akibat ketidaksesuaian aplikasi proses pembatalan Check in tanggal 27 pembatalan harus tanggal 24, masa mau di cek 3 hari sebelum Check in.. Pembayaran uang kembali 14hari kerja? Keburu liburan selesai.. Kurang dapat dipercaya aplikasi ini.. Cs memberikan jawaban tidak masuk akal..","NEGATIF"
"Cindy D.V Surbakti","Saya kecewa dgn aplikasi ini saya buat rute medan ke nias malah dikasih tiket yg terbalek emang kemaren ga saya cek krn buru2 tp anda lbh jahat ngasih tiket yg salah... anda jahattt","NEGATIF"
"Arianto. Aya","sering-sering aja program discount, ndak mungkin custumer ndak memberi BINTANG","NEGATIF"
"Linda friska siregar","Apakah tiket harus di print lagi di stasiun juka sudah beli tiket lewat pegipegi","NEGATIF"
"Silvia Phungky","Peraturan reschedule hotel max h-3, sangat tidak logis. Kalo keperluan bisnis baru pesan 1-2 hari sebelum lalu mau direschedule gak bisa. Ga user friendly. Ga bisa refund juga. Padahal sama sekali hotelnya ga dipakai check-in. Kebijakan yang buruk.","NEGATIF"
"Akbar Baharuddin","Tidak bisa refund tiket yg udah dibeli karna sistemnya rusak tulisannya ""tidak ada koneksi internet"" padahal paketan masih bnyak pake wifi jg ttap sama. Bangkee","NEGATIF"
"Mas Kar","Awal februari 2020 sdh 2x pesan via pegipegi, tetapi data tidak muncul di pesanan, ada konfirmasi setiap kali buka pesanan ""ada kesalahan system"" Tolong diperbaiki, bikin repot buka email hanya untuk liat kode booking Terima kasih","NEGATIF"
"Permata Sari","Mohon maap... Setelah liat ulasan dari para pengguna jasa aplikasi pegi2 ini spt nya bnyak yg kecewa... Spt refund yg tdk dkembalikan, Keterangan lokasi bandara yg tdk jelas, booking hotel yg tdk ada info jk udh penuh. Utk pihak manajemen pegi2, tolong donk kasi penjelasan yg bs bikin hati ini lega....Ulasan LengkapMohon maap... Setelah liat ulasan dari para pengguna jasa aplikasi pegi2 ini spt nya bnyak yg kecewa... Spt refund yg tdk dkembalikan, Keterangan lokasi bandara yg tdk jelas, booking hotel yg tdk ada info jk udh penuh. Utk pihak manajemen pegi2, tolong donk kasi penjelasan yg bs bikin hati ini lega...","NEGATIF"
"OT Reqruitmen","Sangat sangat mengecewakan, aplikasi paling ga layak di pakai. Ngomong diskon, apaan yg diskon? Masih pakek mendingan aplikasi yang sebelah. Ditanggal dibuat harga tiket 1.5, giliran di klik jadi 3jt an. Uninstall aja aplikasi bodoh. Najis buat pakek dan sangat tidak recomanded.","NEGATIF"
"ali shobirin","mudah dan banyak persyaratan promo, untuk tiket kereta juga kurang bagus pelayanannya.. Mau pesan tiket kereta buat 2 bulan kedepan saja g ada maskapainya. Tapi untuk tampilan dan kegunaan ya standar lah ya ,kyk yg apl tetangga, banyak promo dan g jelas promonya.","NEGATIF"
"ELKIDS VIDEOS","Udah bayar tiket hotel di salah satu apartemen milik reddorrz udah kelokasi jam 10 malem, cari2 apartemennya sumpah gak nemu sama sekali. Tanya2 satpam setiap blok, gak ada jugaaaa, sial jam 11 malem loh itu harus cari hotel lain, info di email konfirmasi booking juga gak jelas, gak ada rules harus ...Ulasan LengkapUdah bayar tiket hotel di salah satu apartemen milik reddorrz udah kelokasi jam 10 malem, cari2 apartemennya sumpah gak nemu sama sekali. Tanya2 satpam setiap blok, gak ada jugaaaa, sial jam 11 malem loh itu harus cari hotel lain, info di email konfirmasi booking juga gak jelas, gak ada rules harus telpon cs pagi2 dlu atau dikasih nomor hp pemilik apartemen, rugiiii bandar, duit gak bisa dibalikin. Pertama dan terakhir booking via ini.","NEGATIF"
"zahya mahrani","promo2nya masih sedikit untuk pembelian melalui app, khususnya utk pembelian ticket pesawat lion air atau wings air","NEGATIF"
"Febrian Pebz","Pesan tiket kereta api susahnya minta ampun...gangguan terus..kecewa banget","NEGATIF"
"Abdul Rahman Rianto","Saya pesan lewat pegipegi sudah bayar lunas namun setelah datang ke tempat pesanan pihak hotel/penginapan mengatakan tempat mereka full dan tidak ada kejelasan dari pihak pegipegi. CS pegipegi ketika ditelpon hanya.mengatakan laporan telah diterima namun tidak ada tindak lanjut hingga lagi","NEGATIF"
"kris tanto","Diskonya yg banyak min buat tiket keretanya ,sama servernya pas buat pesen dibikin strong biar ga lelet loadingnya","NEGATIF"
"Dessy Ekasari","Saya refund 2 org dari 3 org dalam 1 pesanan...ternyata oleh pihak pegi2 di refund semua.......enak aja bilang human error.....untung aja dapat tiket di bandara...kalo ngga ....batal berangkat......pecat aja pegawainya....merugikan pembeli....saya ngga bakalan beli tiket lagi di pegi2","NEGATIF"
"ANDRY","Saya sangat sangat kecewa dengan pegi pegi saya sudah boking hotel dua minggu sebelum hari H namun setelah hari H dan saya sampai di hotel bokingan saya tidak ada di sistem hotel tersebut.... Saya sudah konfirmasi ke pihak hotel sampai saya abis pulsa 100rb dan waktu saya terbuang sia"" dan parahnya ...Ulasan LengkapSaya sangat sangat kecewa dengan pegi pegi saya sudah boking hotel dua minggu sebelum hari H namun setelah hari H dan saya sampai di hotel bokingan saya tidak ada di sistem hotel tersebut.... Saya sudah konfirmasi ke pihak hotel sampai saya abis pulsa 100rb dan waktu saya terbuang sia"" dan parahnya lagi saya di suruh menunggu konfirmasi dari pihak pegi"" sampai berjam"" karna saya menunggu hasil dari pegi"" bagai mana tp sampai saat ini tidak ada niat baik untuk kejelasan bokingan saya.","NEGATIF"
"Ummu Hurairah","Sorry to say, tp ini baru aja aku alamin, pembatalan booking hotel berhasil dilakukan tp pengembalian dana harus selama 7-10hari itupun diluar dari hari sabtu dan minggu. 3-4hari mngkin msh bsa dimaklumi. Tp klo seminggu sampe lebih seminggu gmna cara kerjanya? Emang satu org aja yg kerja gitu ..tol...Ulasan LengkapSorry to say, tp ini baru aja aku alamin, pembatalan booking hotel berhasil dilakukan tp pengembalian dana harus selama 7-10hari itupun diluar dari hari sabtu dan minggu. 3-4hari mngkin msh bsa dimaklumi. Tp klo seminggu sampe lebih seminggu gmna cara kerjanya? Emang satu org aja yg kerja gitu ..tolong perbaiki sistemnya yg kek gini. Klo org butuh uang secepatnya itu gimana dong.msa iya ditunggu smpe hampir 2 pekan.","NEGATIF"
"Daniel Silaban","Bintang 1, saya refund tiket. Dari maskapai sudah kembalikan uangnya ke pegi-pegi, tapi dari pegi-pegi tidak mengirimkan uang ya kapada saya sudah sampai 1 bulan lebih. Saat konfirmasi ke pegi-pegi masalah disuruh nunggu 1-3 bulan. Mengecewakan","NEGATIF"
"Aufa Redgreen","Meski saya kecewa krn hotel yg sy pesan ternyata tdk ada padahal sy telah berada di lokasi yg ditunjukkan oleh peta, tp sy berterima kasih kpd pegi pegi krn telah mengembalikan uang saya. Semoga pegi pegi lbh memperhatikan lg tentang hal tsb dan semoga ke depan lbh baik lg dlm melayani pelanggan.","NEGATIF"
"Kawulo Alit","hati2 klo pesen lewat pegi2 mendingan bayar waktu cek in. Jgn di transfer dulu pengalaman sdh saya transfer ternyata sampai di hotel tdk ada data saya . jd harus bayar 2x alamat uang gw hilang. Di chat suruh nunggu sdh 1minggu uang tdk kembali bukti2 masih ada semua","NEGATIF"
"Chase Pack","Bintang diturunin satu, promo hip hura2 nya gak niat amat ngasih diskon, sekalian aja gak usah ada promo hip2 Hura, Kenapa? Di aturannya, program hip2 Hura gak berlaku buat airy, reddoorz sedangkan sebagian besar hotelnya menggunakan reddoorz dan airy, jadi gak niat ngasih promo lebih baik gak usah....Ulasan LengkapBintang diturunin satu, promo hip hura2 nya gak niat amat ngasih diskon, sekalian aja gak usah ada promo hip2 Hura, Kenapa? Di aturannya, program hip2 Hura gak berlaku buat airy, reddoorz sedangkan sebagian besar hotelnya menggunakan reddoorz dan airy, jadi gak niat ngasih promo lebih baik gak usah. Kecuali kl mau booking hotel berkelas Tah baru bisa.","NEGATIF"
"Kim","Kenapa setelah update tpi sush boking. Bahkan kalaupun terbokng mau cek metode pembayarn selalu tdak bisa.","NEGATIF"
"Reny Agustina","Maaf ya aku kasih 2 dulu, karna sy sudah pesan tiket pesawat dan sudah sy bayar, waktu saya pesan tiket dari pihak pegi2 hanya minta tittle dan nama, setelah sy lihat2 daftar tamu saya ternyata tgl lahirnya sama semua tgl 13 tahun 2007,padahal sebelumnya pihak pegi2 ga minta tgl lahirnya, nanti kl b...Ulasan LengkapMaaf ya aku kasih 2 dulu, karna sy sudah pesan tiket pesawat dan sudah sy bayar, waktu saya pesan tiket dari pihak pegi2 hanya minta tittle dan nama, setelah sy lihat2 daftar tamu saya ternyata tgl lahirnya sama semua tgl 13 tahun 2007,padahal sebelumnya pihak pegi2 ga minta tgl lahirnya, nanti kl bisa di pake tiketnya sy perbaiki bintangnya, tp kl ga bisa di pake, mungkin sy jd org pertma yg menuntut pihak pegi2","NEGATIF"
"vkey banyubiru","Sangat buruk, saya sudah melakukan payment tp dari pihak pegipegi tidak ada konfirmasi ke pihak hotel, tidak bisa refund, nelfon call centre nyedot pulsa ga kira2 nunggu nya. Tolong segera respon!!!","NEGATIF"
"Pian","Sumpaaaah kesel banget, hari ini mau pesen tiket, tapi keluar mulu aplikasinyaaaa, gimana sihh, berulang kali, udah di uninstall, install lagi tetep ajaaa keluar melulu aplikasinyyaaaaa, kecewa paraaaah","NEGATIF"
"ruslan hasan","Berdasarkan pengalaman saya sendiri = HATI-HATI PAKAI APLIKASI YANG SATU INI,,, DAPAT HARGA MURAH, BUKAN BERARTI HARGA DI APLIKASI INI MEMANG LEBIH MURAH DARIPADA OTA LAIN, TAPI SETELAH BELI DENGAN HARGA YANG TERBILANG MURAH, TAK LAMA PIHAL HOTEL DAN PIHAK PEGI-PEGI AKAN MENELPON KARENA HARGA TERSEB...Ulasan LengkapBerdasarkan pengalaman saya sendiri = HATI-HATI PAKAI APLIKASI YANG SATU INI,,, DAPAT HARGA MURAH, BUKAN BERARTI HARGA DI APLIKASI INI MEMANG LEBIH MURAH DARIPADA OTA LAIN, TAPI SETELAH BELI DENGAN HARGA YANG TERBILANG MURAH, TAK LAMA PIHAL HOTEL DAN PIHAK PEGI-PEGI AKAN MENELPON KARENA HARGA TERSEBUT BELUM UPDATE YANG MENYEBABKAN KITA HARUS MENTRANSFER KEKURANGAN HARGA TERSEBUT. lebib baik pakai TRAVELOKA atau pakai TIKET yang harganya sudah pasti.","NEGATIF"
"Akbar daniswara","Udh coba bolakbalik pesen tiket tapi pas udh dipilih dan mau dibayar harganya berubah jd lebih mahal gak sesuai dengan yg tertera...coba ganti jam dan hari lain eh pas diklik bayar malah ga bisa dilakukan pesanan ...app ribet uninstal aja....","NEGATIF"
"Xuen Beauty & Slim","Kecewa br pertama booking di stts blg batal sebelum tgl 28 sy tgl 27 malam jam 21.23 mita pembatalan lewat telepon katany sudah di batalin trs tiba2 di telepon lagi bilang sudah tidak bisa di batalin kagak jelas belanja dipergi2 dr kmrn bilang mau konfirmasi sampe skrg kagak ad kabar ny ... duit uda...Ulasan LengkapKecewa br pertama booking di stts blg batal sebelum tgl 28 sy tgl 27 malam jam 21.23 mita pembatalan lewat telepon katany sudah di batalin trs tiba2 di telepon lagi bilang sudah tidak bisa di batalin kagak jelas belanja dipergi2 dr kmrn bilang mau konfirmasi sampe skrg kagak ad kabar ny ... duit udah masuk kantong mereka suka2 mereka bilang lah masih di proses bolak balik sy tlp cm jwb ny msh di proses","NEGATIF"
"Defha thori","Kecewa beli tiket pesawat di pegipegi, katanya dana bisa dikembalikan jika penerbangan dibatalkan, sy membatalkan penerbangan krn ada musibah smpi skrng dana blm jg dikembalikan, pdhl beli tiket yg kubatalkan di agen yg lain 2 hr dibatalkan uangku lang dikembalikan, tp di pegipegi kalo di hub macam2...Ulasan LengkapKecewa beli tiket pesawat di pegipegi, katanya dana bisa dikembalikan jika penerbangan dibatalkan, sy membatalkan penerbangan krn ada musibah smpi skrng dana blm jg dikembalikan, pdhl beli tiket yg kubatalkan di agen yg lain 2 hr dibatalkan uangku lang dikembalikan, tp di pegipegi kalo di hub macam2 alasannya","NEGATIF"
"Sidiq Arraniry","Selalu tidak bisa menampilkan pesanan, sudah uninstal, instal dan login ulang masih tetep ga bisa","NEGATIF"
"Vidhestira Dwimadia","Merepotkan hrs diperbaharui krn hp sdg tdk bisa diupdate (kepenuhan file). Hrsny yg blm bs diupdate tetap bs melanjutkan transaksi","NEGATIF"
"Audry feeana","Pilihan hotel sangat sedikit.. Kadang kode diskon gak otomatis.. Dan susah dipakai","NEGATIF"
"Maman Firmansyah","Kapok pake ini hati"" bos urusan cuma jadi ribet mau batalin booking ajah jawabannya di puter-puter padahal dari pihak hotel tempat saya pesan aja bisa di batalkan tapi dari pihak PegiPegi malah nahan uangnya dan bilang ga bisa di cancel,... stupid ni aplikasi....","NEGATIF"
"Kezhia Nunumete","Sangat..buruk dalam hal proses refund..dari maskapai sdh dibayar ke pihak aplikasi..tapi dri pihak aplikasi bilang butuh waktu 1 sampai 3 bulan untk proses dari maskapai......","NEGATIF"
"jimwi iqbal bakhri","Lebih ditingkatkan lagi metode pembayarannya. Aplikasi dan web nya sih lebih mudah digunakan tapi dipembayaran masih kurang. Bisa dicontoh metode pembayaran di traveloka. Trims. Semoga didengar dan diperbaiki.","NEGATIF"
"Ratna Anshela Dewi","Sudah booking hotel. Sudah bayar. Tapi di aplikasi tulisannya terjadi kesalahan sistem. Dan ga bisa dibuka bukti pemesanannya. Kecewa","NEGATIF"
"Samuel Rapali","Apa apaan pesen tiket kaya gini,alasan perbaikan lah tiba tiba tiket habis","NEGATIF"
"Adilla Afifah","Kak mau tanya, kok ada tulisan ""terjadi kesalahan sistem"" ya, dan penerbangannya beda dengan kalo saya pakai hp yang lain, ini aplikasinya memang lagi error atau bagaumana ya?","NEGATIF"
"irawati advokat","Sy ksh bintang 2 dlu krn sy baru akan mulai mencoba ,,,","NEGATIF"
"Oktavia Rita","Masa tiket keretanya cuma bandung doang? Jatim g ada kah??","NEGATIF"
"Gutakfi takfi","seharusnya no.ktp pemesan ke record..jadi setiap pemesanan tiket data sudah ada tdk lagi input no.ktp","NEGATIF"
"d' edh","Pegawainya ga professional dalam menyelesaikan masalah, lapor cs live chat slow respon, via wa tidak ditanggapi, melalui via telp hanya di jawab akan di tangani pihak terkait","NEGATIF"
"okstiana khomariyatun","Saya berangkat dari jogjakarta kenapa bisa pindah ke semarang? Ini aplikasi gimana sih.? Maskapainya juga seenaknya aja ganti* bisa dipercaya gak sih sebenarnya.?????","NEGATIF"
"Chichi Habibie","Koq pesen kereta api lebaran ga bisa2 ya knp,, padahal jaringannya udah bagus","NEGATIF"
"Vegya Jafirenita","Kenapa ini aplikasi pegi2 dr desember 2019 sampe sekarang.. kata nya terjadi kesalahan sistem. Padahal gua selalu upgrade aplikasi nya. Kenapa ini ?","NEGATIF"
"Aisyah Aqilah","Kok waktu proses pembayaran loading terus kenapa ya","NEGATIF"
"Husnaidy Kasmadi","Pelayanannya luar biasa parah. Transaksi gagal tp proses refund dananya susah. Dijanjikan akan dihubungi kembali, tp tdk pernah dihubungi. Harap berhati-hati transaksi disini.","NEGATIF"
"Sunaenah Ena","Jelek lah Update yang baru ini kurang bagus..soalnya tidak bisa melihat kursi masih banyak apa tidaknya buat tanggal berapa2nya tuh...mlEhoy lah updatannya","NEGATIF"
"Bayou langlangbuana #penjelajah malam#","Ngga nyesel aq pake aplikasi ini.... Semua jdi mudah... Trima kasih pegipegi... Kembangkan terus aplikasimu","NEGATIF"
"Yudi Iswantara","JARINGAN BERMASALAH MOHON PERIKSA KEMBALI KONEKSI INTERNET ANDA. PADAHAL LANCAR BUAT STREAMING YUTUB DLL.. ANEHH COOK","NEGATIF"
"farid Islahul","Setelah lama gk pakai, cb sy install lg barangkali ada perbaikan. Terrnyata tetep aja error terus. Tiap kali search, hasil pencarian tiba2 gk bisa discroll dan kembali ke halaman awal. Selalu begitu.","NEGATIF"
"Muhamad Ferdi","Beli tiket bus online terutama yg di jkt, sangat tidak di hargain, saya coba beli online tetapi stelah mau masuk bus saya di suru duduk blakangan, alias kursi sisa.","NEGATIF"
"agung lina","Pasti cuma bisa di bilang ""mohon maaf atas ketidak nyamanan nya"" mantap pegi2 LANJUTKAN!","NEGATIF"
"Oasis_ 91_","Udah pesen hotel dari 3hari yang lalu, udah di bayar,pas buka aplikasi keterangannya offline mulu, kesalahan sistem,,","NEGATIF"
"adang rinaldi","Pegi pegi gimana si. Kenapa terus muncul terjadi kesalahan sistem. Jadi gk bisa liat status pemesanan. Padahal udah berhasil bayar.","NEGATIF"
"Azizah Rahman","Mengapa selalu tertulis kesalahan sistem dan pesanan tidak ter-save, sehingga harus buka email. Sampai saya uninstal dan instal lalu login kembali tetapi tetap sama.","NEGATIF"
"sri waty","Saya sangat kecewa dengan aplikasi ini ..pesan hotel tidak sesuai dengan titik dan hotel nya di telp tidak ada..minta balik uang tidak bisa","NEGATIF"
"Wildan Firdaus","kecewa saya dapat kupon diskon tapi tak bisa di gunakan dasar penipuan!!!!","NEGATIF"
"Dimas Aji","Apk apaan ni saya cari stasiun ko gak ada gimana sh? Stasiun sudimara gak ada stasiun rawa buntu gak ada!! Nyesel saya instal apk ini, percuma buang* waktu, orang lagi buru* malah apknya gak guna!!!!","NEGATIF"
"Ojan Mas","Kode promo tahun ini sangat mengecewakan tidak sama kayak tahun Kemarin sangat memuaskan. Jadi sekarang jarang pakai aplikasi pergi pergi .","NEGATIF"
"Infinitum NET","Ga ada opsi milih seat, ga ada opsi masukin freq flyer, ga ada opsi merubah metode pembayaran.. semoga bs jadi masukan. Krn preference ku next time maunya jd booking di apps kompetitor kamu loh","NEGATIF"
"David Bengurion Tarihoran","Tiket lebih murah dari yg lain. Tapi kalau boleh dengan maskapainya juga lah dimurahin, jngan cuman 1 maskapai doang","NEGATIF"
"Rachma Chalimatur","Kenapa tiba-tiba ada tulisan merah ""Terjadi kesalahan sistem"" diaplikasi pegipegi saya ya?","NEGATIF"
"Novi Oktarina","Sayangny stelah di perbaharui jumlah sisa kursi tiket kereta gak muncul lagi","NEGATIF"
"Moe Raisha","Saya pesan hotel,,uang sudah di tranfer tetapi pas mau check in malah kamar nya full. Sangat kecewa sekali dengan aplikasi ini","NEGATIF"
"Aliong koko","Jelek, jgn download,apk ga jelas, tiket soldout tapi Masi ada di iklan.","NEGATIF"
"Nurita Kusuma","Sangat mengecewakan memakai pegi"" setiap log in selalu eror jangan download aplikasi busuk kaya gini deh","NEGATIF"
"Addie Pratama","Makin kesini makin gaje nih app, koneksi lancar malah eror, niat kagak sih ini develop ny, maintenance terus bener kagak.. saya harap cukup pegipegi aja yg kek gini, yg laen tetep lancar","NEGATIF"
"Riel Pro","Aplikasi PENIPU YA? KOK DI MAPS PAS DICARI GK ADA ? TRUS PAS DI TLP CS NYA DENGAN SANTAY NYA BILANG GK ADA REFUN DARI KEBIJAKAN HOTEL JELAS2 HOTEL NYA GK ADA BALIKIN ATAU SAYA BAWA KE JALUR HUKUM Oh ya satu lg bisa lebih bijaksana ga untuk pelayanan nya","NEGATIF"
"nursaadah alfurqan","2 dulu ya bintang nya karena aku belum coba nge boking hotel dari pegi2. Aku mo boking tapi lihat dari penilaian org2 aku sedikit agak ragu..","NEGATIF"
"Yunan Helmi","hati-hati membeli tiket di aplikasi pegipegi karena harga yang dipublikasikan ada yang berbeda dengan harga tiket dari maskapai sehingga selisihnya tidak bisa diklaim untuk pertanggungjawaban di kantor update terbaru hati-hati membeli tiket citilink melalui aplikasi-aplikasi online karena harga di t...Ulasan Lengkaphati-hati membeli tiket di aplikasi pegipegi karena harga yang dipublikasikan ada yang berbeda dengan harga tiket dari maskapai sehingga selisihnya tidak bisa diklaim untuk pertanggungjawaban di kantor update terbaru hati-hati membeli tiket citilink melalui aplikasi-aplikasi online karena harga di tiket dari website citilink tidak tertera sehingga tidak bisa digunakan untuk pertanggungjawaban di kantor","NEGATIF"
"Desy Meong","Waduh pgen pesan tiket pesawat tp liat ulasan pd ngsih bintang 1 kok aku jd ragu ya pdhl dlu pegi.pegi gak gini ..aku pesen hotel ma tiket lancar jaya tp knpa skrg bnyk yg komplen ..","NEGATIF"
"Riska sidiq","Udah transfer tpi knpa kesalahn sistem terus muncul nya,, gimana mau lihat kode nya ,, ?!!!","NEGATIF"
"sabiq rizki","APLIKASI SUDAH LAMA PAKAI TAPI TIDAK BERKEMBANG TIDAK MEMILIKI KEMUDAHAN PEMBAYARAN DENGAN PAY LATER PRIBADI DARI CORPORATE SENDIRI","NEGATIF"
"Riyanti Chanel","Setelah booking selesai kenapa ga ada link untuk tulis review ya...","NEGATIF"
"Feri Hadi Umam","Maaf kak metode pembayaran loding nya lama kenapa ya","NEGATIF"
"Ricky Chandra","Saya kira ada promo tiket nya... Ternyata permainan marketing dlm beriklan. Kena tipu lagi.","NEGATIF"
"Syifa Fadhila","Mau tanya nih. Saya mau booking tiket pesawat tapi di step bayar, knp loadingnya lama sekali?","NEGATIF"
"musex enak","Cari hotel di Johor bahru Malaysia tidak ada.....uninstal....","NEGATIF"
"tiga menara","Pegi pegi tidak bisa memberikan yang terbaik ceritanya semua percuma","NEGATIF"
"Rizky Ediharto","Nginap dihotel megamatra matraman helm pakai Hilang diparkiran tidak ada penanggung jawaban dari manajemen hotel untuk cctv dan satpam jga tidak tahu barang customer hilang padalan ada palang parkir nyesel saya boking tolong ditegur dan di tingkatkan lagi ke amanan nya masa parkir tidak ada cctv hot...Ulasan LengkapNginap dihotel megamatra matraman helm pakai Hilang diparkiran tidak ada penanggung jawaban dari manajemen hotel untuk cctv dan satpam jga tidak tahu barang customer hilang padalan ada palang parkir nyesel saya boking tolong ditegur dan di tingkatkan lagi ke amanan nya masa parkir tidak ada cctv hotel nya","NEGATIF"
"Dani Predosa","Saya mau tanya nomer pengaduan operator..nya seandainya E Tiket saya ditolak di agen bis di terminal...","NEGATIF"
"Fredy Liu","Ditelpon cs tidak di angkat, da. Bebrapa kali di telpon","NEGATIF"
"Adam achmad","Jelek tidak memberikan solusi jika ada masalah atau trouble sistem sangat buruk","NEGATIF"
"Ahmad Taufiq Ramadlan","Gak bisa simpan kartu kredit jadi tiap pembayaran harus ngetik lagi","NEGATIF"
"Ambar Sari","Sistemnya errorr....mau liat pesanan ngak bisa...gmn yaa...??cuman dpt SMS boking ..","NEGATIF"
"Riski Firmansyah","Aplikasi menyajikan informasi yg sangat berbeda jauh dengan kondisi actual, not recommended","NEGATIF"
"Budi Arianto","Ko saya ga bs gunakan kupon discount ys","NEGATIF"
"rafki agus walindra","Kok nggk bisa milih badara ya di akun saya setiap milih selalu kembali lagi ke home nya","NEGATIF"
"PT KHARISMART MAJAPAHIT NUSANTARA","Sangat mengecewakan pelayanannya sy pesan hotel salah tgl katanya nggak bisa dirubah tgl nya setelah sy tlp hotel nya ternyata masih bisa tdk apa2","NEGATIF"
"Erin Susilowati","Tiba2 gak bisa buat pesen .","NEGATIF"
"ardi ardiansah","Ini hotel di bogor gk ada?","NEGATIF"
"Rany Haerunnysa","Baru coba Tapi kenapa diskonnya dikit sama adminya 5000lah","NEGATIF"
"Audii Gabrillia","App apaan pembatalan udh lbh dr 30 hri tp blm d balikin jg uangnya, beda sm traveloka, cpt responnya, app sampah potongannya jg gede 25% kl traveloka 30k.","NEGATIF"
"Rasmianna Malau","Semakin diperbaharui malah semakin ga bisa dibuka","NEGATIF"
"ully rully","Mau refund aja susahh, padahal jamnya belum jam cek in sesuai aplikasi !! Payahh","NEGATIF"
"bhima tralala","kenapa saya tidak bisa menerima email konfirmasi akun?","NEGATIF"
"Nur Aliefia","Kecewa, proses bayarnya lama bngt .. Di kata2nya mohon tunggu sebentar tapi kenapa lama bngt","NEGATIF"
"Sri Raharjo","Kok dalam perbaikan terus nih kak","NEGATIF"
"lupa nama","Saya kenapa gak bisa melanjutkan ke pembayaran ya? Lama sekali loadingnya","NEGATIF"
"emrizad julius","Promo kurang, harga nya pas pembayaran bisa berubah sendiri.","NEGATIF"
"yati no","Kena apa sekarang pesan tiket kereta kok susah sekali cuma loding dipembayaran terus","NEGATIF"
"Eko Sugatot","Kecewa dengan metode pemesanan kursi pada tiket bus.","NEGATIF"
"Rio Herman","Parah sering error aplikasi nya.Terutama sewaktu pembelian tiket kereta","NEGATIF"
"coy broo","Masa ga ada di semua kota propinsi indonesia... coconya apk bintang 1","NEGATIF"
"al iman","Masih lbh milih airy trafeleoka sma redoors. Selama promo dan harga masih gini2 aja bakalan kalah saing","NEGATIF"
"Rifnaldo Official","Banyakin lagi promo dan discoun nya,biar mntap","NEGATIF"
"Surya Ryd","Paarraaahh..... Pegi ....berantem yook.... Tidak profesional.... Gak lagi deh .....","NEGATIF"
"Muhammad Ali","Kak poinn yg kita kumpuli tu gunanya untuk apa kk .bisa ngga di tuker jdi bayar hotel lwt poin atau ubah kk biar poin yg lita kumpuli tu bisa berguna","NEGATIF"
